
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,TrackID,ID,
4.86066,um,Surface,439,1000161049,213465,
9.34935,um,Surface,439,1000213056,213466,
6.27641,um,Surface,439,1000207101,213467,
4.95053,um,Surface,439,1000168619,213468,
4.44534,um,Surface,439,1000202411,213469,
5.36897,um,Surface,439,1000188975,213470,
5.02276,um,Surface,439,1000194928,213471,
5.21778,um,Surface,439,1000204718,213472,
6.3163,um,Surface,439,1000161072,213473,
4.66653,um,Surface,439,1000209244,213474,
4.79396,um,Surface,439,1000203533,213475,
5.35301,um,Surface,439,1000199773,213476,
5.90215,um,Surface,439,1000179475,213477,
5.21515,um,Surface,439,1000210851,213478,
4.95654,um,Surface,439,1000208231,213479,
6.37521,um,Surface,439,1000177939,213480,
4.67426,um,Surface,439,1000161104,213481,
7.56204,um,Surface,439,1000197225,213482,
4.66409,um,Surface,439,1000205236,213483,
5.82708,um,Surface,439,1000208321,213484,
7.0754,um,Surface,439,1000202567,213485,
4.79113,um,Surface,439,1000161146,213486,
5.66805,um,Surface,439,1000208944,213487,
4.6747,um,Surface,439,1000191712,213488,
4.86859,um,Surface,439,1000199432,213489,
4.7605,um,Surface,439,1000161145,213490,
6.12676,um,Surface,439,1000196348,213491,
7.25564,um,Surface,439,1000201094,213492,
6.79778,um,Surface,440,1000166950,213493,
5.94391,um,Surface,440,1000161032,213494,
4.35664,um,Surface,440,1000198833,213495,
4.98362,um,Surface,440,1000210650,213496,
5.49738,um,Surface,440,1000202801,213497,
4.63802,um,Surface,440,1000210467,213498,
4.49939,um,Surface,440,1000189692,213499,
4.35666,um,Surface,440,1000161044,213500,
8.08051,um,Surface,440,1000213056,213501,
4.44594,um,Surface,440,1000161049,213502,
5.06056,um,Surface,440,1000188975,213503,
4.57194,um,Surface,440,1000202411,213504,
4.36359,um,Surface,440,1000168619,213505,
4.81513,um,Surface,440,1000194928,213506,
4.47889,um,Surface,440,1000204718,213507,
5.84657,um,Surface,440,1000161072,213508,
4.9128,um,Surface,440,1000209244,213509,
4.51442,um,Surface,440,1000203533,213510,
5.58816,um,Surface,440,1000199773,213511,
5.01557,um,Surface,440,1000210851,213512,
6.62819,um,Surface,440,1000179475,213513,
4.38357,um,Surface,440,1000161104,213514,
4.49551,um,Surface,440,1000208231,213515,
8.20476,um,Surface,440,1000197225,213516,
5.36734,um,Surface,440,1000208944,213517,
5.74644,um,Surface,440,1000208321,213518,
4.99953,um,Surface,440,1000199432,213519,
5.41912,um,Surface,440,1000161145,213520,
6.74389,um,Surface,440,1000202567,213521,
5.37688,um,Surface,440,1000161146,213522,
4.82287,um,Surface,440,1000191712,213523,
6.81195,um,Surface,440,1000196348,213524,
5.56789,um,Surface,440,1000201094,213525,
6.00463,um,Surface,441,1000161032,213526,
4.69793,um,Surface,441,1000198833,213527,
6.45305,um,Surface,441,1000166950,213528,
5.2591,um,Surface,441,1000210650,213529,
5.68847,um,Surface,441,1000202801,213530,
5.83035,um,Surface,441,1000189692,213531,
4.82007,um,Surface,441,1000212567,213532,
4.74241,um,Surface,441,1000210467,213533,
4.8606,um,Surface,441,1000185942,213534,
5.0522,um,Surface,441,1000161049,213535,
8.65325,um,Surface,441,1000213056,213536,
4.71575,um,Surface,441,1000168619,213537,
5.55461,um,Surface,441,1000202411,213538,
4.97709,um,Surface,441,1000188975,213539,
8.76256,um,Surface,441,1000207101,213540,
4.9245,um,Surface,441,1000204718,213541,
4.66995,um,Surface,441,1000194928,213542,
5.03244,um,Surface,441,1000161072,213543,
4.59644,um,Surface,441,1000203533,213544,
4.95781,um,Surface,441,1000199773,213545,
6.17475,um,Surface,441,1000179475,213546,
6.27316,um,Surface,441,1000210851,213547,
4.51416,um,Surface,441,1000208231,213548,
4.91636,um,Surface,441,1000177939,213549,
4.77273,um,Surface,441,1000161104,213550,
4.90382,um,Surface,441,1000201374,213551,
6.2746,um,Surface,441,1000197225,213552,
5.15804,um,Surface,441,1000208944,213553,
5.6582,um,Surface,441,1000208321,213554,
5.3301,um,Surface,441,1000161146,213555,
4.63329,um,Surface,441,1000199432,213556,
4.30849,um,Surface,441,1000202567,213557,
5.04964,um,Surface,441,1000161145,213558,
4.58437,um,Surface,441,1000191712,213559,
6.66184,um,Surface,441,1000196348,213560,
4.66653,um,Surface,441,1000201094,213561,
5.31722,um,Surface,442,1000210650,213562,
5.99457,um,Surface,442,1000161032,213563,
4.76705,um,Surface,442,1000198833,213564,
4.92044,um,Surface,442,1000166950,213565,
5.17044,um,Surface,442,1000212391,213566,
4.36968,um,Surface,442,1000162116,213567,
5.2076,um,Surface,442,1000202801,213568,
4.77106,um,Surface,442,1000189692,213569,
4.35664,um,Surface,442,1000212567,213570,
4.63802,um,Surface,442,1000210467,213571,
4.86854,um,Surface,442,1000185942,213572,
4.99142,um,Surface,442,1000161044,213573,
9.84483,um,Surface,442,1000213056,213574,
4.40463,um,Surface,442,1000161049,213575,
4.6529,um,Surface,442,1000188975,213576,
4.47889,um,Surface,442,1000202411,213577,
4.82818,um,Surface,442,1000194928,213578,
8.95103,um,Surface,442,1000207101,213579,
5.10353,um,Surface,442,1000204718,213580,
5.26883,um,Surface,442,1000161072,213581,
4.43974,um,Surface,442,1000209244,213582,
4.57152,um,Surface,442,1000203533,213583,
