
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,TrackID,ID,
40.4417,-963.259,265.513,um,Surface,Ellipsoid Axis B,3,1000224519,224752,
71.2885,996.236,-49.3072,um,Surface,Ellipsoid Axis B,3,1000224514,224753,
758.615,-511.164,-403.998,um,Surface,Ellipsoid Axis B,3,1000224510,224754,
376.481,253.668,-891.019,um,Surface,Ellipsoid Axis B,3,1000224517,224755,
-86.2151,-652.636,752.75,um,Surface,Ellipsoid Axis B,3,1000224513,224756,
-69.4329,-810.233,581.98,um,Surface,Ellipsoid Axis B,3,1000224520,224757,
69.1719,-801.351,594.182,um,Surface,Ellipsoid Axis B,3,1000224522,224758,
-49.2992,-594.686,802.445,um,Surface,Ellipsoid Axis B,3,1000224516,224759,
660.088,-695.123,-284.757,um,Surface,Ellipsoid Axis B,3,1000224518,224760,
690.595,-425.298,-584.979,um,Surface,Ellipsoid Axis B,3,1000224523,224761,
999.446,-33.2786,3.10141e-05,um,Surface,Ellipsoid Axis B,3,1000224524,224762,
27.1157,-647.421,-761.65,um,Surface,Ellipsoid Axis B,3,1000224521,224763,
210.527,-965.526,153.096,um,Surface,Ellipsoid Axis B,3,1000224525,224764,
-123.981,433.917,-892.381,um,Surface,Ellipsoid Axis B,3,1000224526,224765,
873.651,-424.284,-238.152,um,Surface,Ellipsoid Axis B,3,1000224528,224766,
231.179,-920.824,-314.069,um,Surface,Ellipsoid Axis B,3,1000224527,224767,
-261.375,279.186,-923.98,um,Surface,Ellipsoid Axis B,3,1000224531,224768,
